--- Format: Song-Name Artist-Name ---
Someone-You-Loved  Lewis-Capaldi
Bad-Guy Billie-Eilish
Just-You-and-I Tom-Walker
Walk-Me-Home Pink
Dont-Call-Me-Up Mabel
What-I-Like-About-You Jonas-Blue
Wow Post-Malone
Sucker Jonas-Brothers
Piece-of-Your-Heart Meduza
Let-You-Down NF
Demons Imagine-Dragons
Wake-Me-Up Avicii
Levels Avicii
Paradise Coldplay
Let-It-Go James-Bay
Take-Me-To-Church Hozier
Let-Her-Go Passenger
All-Of-Me John-Legend
7-Years Lukas-Graham
Cups Anna-Kendrick
The-Nights Avicii
Shut-Up-And-Dance Walk-The-Moon
Burn Ellie-Goulding
Dynamite Taio-Cruz
Dear-Darlin Olly-Murs
2002 Anne-Marie
Shotgun George-Ezra
Not-Afraid Eminem
Heathens Twenty-One-Pilots
The-Man-Who-Cant-Be-Moved The-Script
Superheroes The-Script
Impossible James-Arthur
Let-You-Love-Me Rita-Ora
Back-To-You Selena-Gomez
Mirrors Justin-Timberlake
Royals Lorde
Locked-Out-Of-Heaven Bruno-Mars
Whistle Flo-Rida
Feel-So-Close Calvin-Harris
These-Days Take-That
Ghost Ella-Henderson
Lost-Without-You Freya-Ridings
Without-Me Halsey
Be-Alright Dean-Lewis
Barcelona Max-George
Vossi-Bop Stormzy
SOS Avicci
Location Dave
Here-With-Me Marshmellow
Talk Khalid
Homocide Logic
